timestamp,symbol,action,price,pnl_dollar,pnl_percent,fee,cash_after
2026-09-16 06:25:33,BTC/USDT,BUY,75940.6,0.0,0.00%,0.2,800.0
2026-09-16 06:25:33,ETH/USDT,BUY,2406.14,0.0,0.00%,0.2,600.0
